participant_id,age,gender,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,trust_q1,trust_q2,trust_q3,trust_q4,trust_q5,usefulness_q1,usefulness_q2,usefulness_q3,usefulness_q4,usefulness_q5,ease_q1,ease_q2,ease_q3,ease_q4,ease_q5,accuracy_perception_q1,accuracy_perception_q2,accuracy_perception_q3,privacy_concern_q1,privacy_concern_q2,privacy_concern_q3,open_positive,open_negative,open_suggestions
P001,20,Male,2,3,4,3,3,3,4,1,2,3,4,3,5,3,5,4,4,6,6,7,4,6,5,4,5,4,3,5,4,5,3,The interface was clean and easy to navigate even on my first time using it without needing any tutorial or guidance.,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,Allow customization of the dashboard layout so each student can prioritize the information that matters most to their workflow.
P002,18,Female,3,3,4,2,4,2,5,2,3,1,4,7,5,3,3,7,6,6,6,5,5,6,4,5,2,4,4,4,6,3,5,The goal setting feature helped me break down my semester targets into manageable weekly objectives which reduced my anxiety.,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.
P003,18,Female,3,2,4,2,4,2,5,2,4,2,4,5,2,6,3,5,5,4,4,3,5,6,6,5,6,3,4,5,6,5,5,Having all my study data in one place was extremely convenient and saved me time compared to tracking things manually.,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,Provide weekly summary reports via email for students who do not want to log in frequently but still want to stay informed.
P004,22,Female,4,1,4,1,2,3,4,2,4,2,4,6,5,5,4,7,5,5,5,3,6,6,5,4,5,5,4,5,4,6,3,I was impressed by how quickly the system adapted to my study habits and started giving more relevant suggestions after just a few sessions.,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.
P005,23,Male,5,1,3,1,3,4,4,2,3,1,6,3,2,5,5,5,5,5,5,3,4,5,6,7,6,5,3,4,5,5,5,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,I found the peer comparison feature demotivating because it made me feel behind even when I was doing well in my own terms.,Add accessibility features like screen reader support and high contrast themes to make the tool usable for all students.
P006,21,Male,4,2,4,2,4,2,5,3,3,3,6,4,4,2,4,4,7,5,5,4,3,6,4,5,6,5,4,1,6,3,2,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,There was no easy way to provide feedback on recommendations which meant the system could not learn from my actual preferences.,Include a way to temporarily pause data collection during breaks without losing historical data or resetting the AI model.
P007,22,Male,4,3,3,2,5,3,4,2,2,1,4,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,3,3,5,3,3,I was impressed by how quickly the system adapted to my study habits and started giving more relevant suggestions after just a few sessions.,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.
P008,25,Male,3,2,3,3,4,2,3,3,5,3,5,3,3,3,4,3,4,6,5,6,6,7,6,4,6,4,1,5,3,6,5,I liked the progress visualization feature because seeing my improvement over time kept me motivated to continue using the tool.,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.
P009,22,Non-binary,4,2,4,2,3,2,4,2,5,2,5,4,4,4,7,5,3,4,6,3,5,7,5,6,4,5,5,4,4,6,5,The goal setting feature helped me break down my semester targets into manageable weekly objectives which reduced my anxiety.,I noticed the system sometimes repeated the same recommendations even after I had already tried them and they did not work for me.,Include a way to temporarily pause data collection during breaks without losing historical data or resetting the AI model.
P010,23,Female,4,2,4,2,3,2,4,1,3,2,6,4,6,5,3,5,5,3,5,4,5,4,7,4,5,3,4,4,4,6,5,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,Provide weekly summary reports via email for students who do not want to log in frequently but still want to stay informed.
P011,23,Male,2,3,5,2,4,2,4,3,4,2,4,4,5,5,4,4,7,4,7,6,4,5,7,5,6,4,6,4,7,5,6,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.
P012,20,Female,4,2,5,2,5,2,4,2,3,1,4,4,3,3,6,7,4,5,3,6,5,7,5,7,6,4,7,3,2,4,5,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,The accuracy of grade predictions fluctuated a lot between weeks which made it hard to rely on them for planning purposes.,Add a feature to compare different study strategies with evidence based explanations so students can make informed choices.
P013,19,Female,5,2,5,1,3,2,3,2,4,1,6,6,5,6,3,5,6,6,4,6,6,5,5,5,6,6,5,3,5,7,3,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,The notification frequency was too high by default and I had to spend time adjusting settings before it became manageable.,Include integration with popular calendar apps so study schedules and reminders sync automatically without manual data entry.
P014,22,Male,4,3,3,2,3,3,4,2,3,3,6,4,5,5,4,4,5,5,5,4,5,6,5,6,5,4,5,3,4,4,5,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,The tool did not integrate well with my existing study workflow and felt like an additional burden rather than a time saver.,Add more granular privacy controls so students can choose exactly which data points are used for predictions and recommendations.
P015,25,Male,3,2,3,3,3,4,4,2,5,1,6,6,6,3,3,4,6,5,4,2,5,5,6,5,7,4,6,4,1,6,5,I was impressed by how quickly the system adapted to my study habits and started giving more relevant suggestions after just a few sessions.,There was no easy way to provide feedback on recommendations which meant the system could not learn from my actual preferences.,Add a feature to compare different study strategies with evidence based explanations so students can make informed choices.
P016,23,Male,3,2,3,3,4,2,4,2,4,3,4,5,4,6,5,5,7,5,6,3,7,6,5,4,7,5,3,3,3,5,5,The interface was clean and easy to navigate even on my first time using it without needing any tutorial or guidance.,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.
P017,18,Female,2,4,5,3,4,3,3,1,4,4,7,5,5,4,6,5,5,5,3,6,5,5,4,6,5,3,5,3,6,5,4,Overall the experience felt trustworthy because the tool was transparent about what data it was using and how it made predictions.,The tool did not integrate well with my existing study workflow and felt like an additional burden rather than a time saver.,Add a feature to compare different study strategies with evidence based explanations so students can make informed choices.
P018,22,Female,3,2,2,2,1,1,4,4,3,4,5,5,4,4,6,3,4,3,5,4,4,4,3,5,6,2,3,4,5,4,4,The interface was clean and easy to navigate even on my first time using it without needing any tutorial or guidance.,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.
P019,22,Female,3,3,3,2,4,2,3,3,2,3,5,5,5,3,7,4,6,4,4,6,4,3,5,5,5,3,5,5,5,7,3,The study method recommendations actually introduced me to techniques I had not tried before and some of them worked really well.,I found the peer comparison feature demotivating because it made me feel behind even when I was doing well in my own terms.,Add accessibility features like screen reader support and high contrast themes to make the tool usable for all students.
P020,24,Male,3,3,4,2,4,4,4,1,4,1,5,4,5,4,6,4,5,4,7,5,6,6,5,6,4,3,2,4,4,6,4,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,Some of the AI explanations were too technical and hard to understand which made me question whether the recommendations were valid.,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.
P021,24,Female,4,3,3,1,4,3,4,3,3,2,5,3,5,3,5,4,4,6,7,5,4,6,6,5,7,3,7,4,3,3,7,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,The notification frequency was too high by default and I had to spend time adjusting settings before it became manageable.,Include integration with popular calendar apps so study schedules and reminders sync automatically without manual data entry.
P022,24,Female,3,2,4,2,3,4,2,1,4,2,4,4,6,5,5,3,6,4,5,5,6,6,4,4,5,6,3,4,3,6,7,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,The mobile experience was not as smooth as the desktop version and some features were hard to access on a smaller screen.,Allow customization of the dashboard layout so each student can prioritize the information that matters most to their workflow.
P023,27,Male,4,2,2,4,5,3,3,2,3,2,3,4,5,3,5,4,5,6,5,6,5,5,5,7,6,6,6,6,3,5,6,The goal setting feature helped me break down my semester targets into manageable weekly objectives which reduced my anxiety.,The tool did not integrate well with my existing study workflow and felt like an additional burden rather than a time saver.,Provide weekly summary reports via email for students who do not want to log in frequently but still want to stay informed.
P024,22,Female,3,2,2,2,3,3,3,2,4,3,4,5,6,2,4,4,5,3,5,3,6,5,6,6,4,7,3,4,4,6,6,Having all my study data in one place was extremely convenient and saved me time compared to tracking things manually.,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.
P025,20,Male,4,2,2,2,5,1,3,1,5,2,2,2,6,7,3,6,7,5,5,5,7,6,7,5,5,6,2,4,5,7,5,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,The predictions did not always feel accurate especially early on when the system did not have much data about my study habits.,Add accessibility features like screen reader support and high contrast themes to make the tool usable for all students.
P026,22,Male,4,3,4,4,5,1,3,2,4,3,2,3,6,4,3,4,5,7,3,4,4,6,5,5,5,6,5,6,4,6,4,The study method recommendations actually introduced me to techniques I had not tried before and some of them worked really well.,The mobile experience was not as smooth as the desktop version and some features were hard to access on a smaller screen.,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.
P027,18,Female,3,4,4,2,4,2,3,3,3,1,5,5,4,3,4,5,6,4,6,4,6,6,5,5,5,6,5,3,5,5,5,The notification system was well balanced and did not feel intrusive while still keeping me on track with my study goals.,There was no easy way to provide feedback on recommendations which meant the system could not learn from my actual preferences.,Allow users to export their study data in standard formats so they can do their own analysis or share it with advisors.
P028,22,Female,2,3,4,2,1,3,3,3,4,1,6,7,3,4,4,4,4,5,5,7,5,5,5,4,5,3,4,5,6,6,7,Overall the experience felt trustworthy because the tool was transparent about what data it was using and how it made predictions.,The mobile experience was not as smooth as the desktop version and some features were hard to access on a smaller screen.,Add more granular privacy controls so students can choose exactly which data points are used for predictions and recommendations.
P029,20,Male,4,2,4,3,4,4,3,2,3,2,6,6,5,5,3,4,5,5,5,6,5,5,6,6,5,4,4,6,5,5,3,The recommendation system felt personalized and relevant to my actual courses which made me trust it more than I expected.,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.
P030,27,Prefer not to say,4,1,3,2,4,1,3,3,3,2,3,4,4,7,4,7,5,5,4,3,5,6,5,5,6,4,5,4,4,3,6,Having all my study data in one place was extremely convenient and saved me time compared to tracking things manually.,I noticed the system sometimes repeated the same recommendations even after I had already tried them and they did not work for me.,Create a quick start guide or onboarding tutorial because the first time experience could be overwhelming for less tech savvy users.
P031,23,Female,3,2,4,1,3,3,4,2,4,3,4,4,2,4,5,3,4,5,2,6,6,6,4,6,6,4,5,7,7,5,5,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,I found the peer comparison feature demotivating because it made me feel behind even when I was doing well in my own terms.,Include integration with popular calendar apps so study schedules and reminders sync automatically without manual data entry.
P032,26,Female,3,3,3,1,3,1,2,3,5,2,3,5,6,2,5,6,5,4,6,5,4,4,6,4,6,6,6,4,6,3,5,The notification system was well balanced and did not feel intrusive while still keeping me on track with my study goals.,Some of the AI explanations were too technical and hard to understand which made me question whether the recommendations were valid.,Implement a social feature where study groups can share goals and track collective progress on shared courses or projects.
P033,20,Male,3,3,3,2,3,2,5,2,4,3,2,7,5,5,4,6,5,6,4,6,4,5,4,4,5,5,3,6,3,4,5,The study method recommendations actually introduced me to techniques I had not tried before and some of them worked really well.,The loading times were frustrating especially when switching between different sections of the dashboard during a study session.,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.
P034,26,Female,4,2,5,3,2,2,5,3,4,3,5,5,6,4,6,5,7,4,3,4,4,5,5,5,5,4,4,5,5,5,6,I liked the progress visualization feature because seeing my improvement over time kept me motivated to continue using the tool.,I was uncomfortable with how much personal data the tool seemed to require before I could even start using the basic features.,Create a quick start guide or onboarding tutorial because the first time experience could be overwhelming for less tech savvy users.
P035,21,Male,5,2,4,1,1,4,3,1,4,2,2,6,4,5,5,3,5,5,4,4,5,5,4,5,4,6,3,2,6,3,2,Overall the experience felt trustworthy because the tool was transparent about what data it was using and how it made predictions.,I noticed the system sometimes repeated the same recommendations even after I had already tried them and they did not work for me.,Create a quick start guide or onboarding tutorial because the first time experience could be overwhelming for less tech savvy users.
P036,26,Female,3,1,4,3,3,2,4,3,4,2,4,4,4,6,6,4,5,7,7,3,4,5,5,5,7,4,4,3,4,6,6,I appreciated how the tool explained its suggestions rather than just telling me what to do without any reasoning behind it.,Some of the study recommendations felt too generic and did not account for the specific demands of my major or course load.,Add a feature that lets students set their own confidence levels for predictions so the system knows when to be more cautious.
P037,22,Female,4,3,3,2,3,1,3,2,4,2,4,4,6,4,4,6,5,5,4,6,5,7,5,4,5,3,3,4,2,5,2,I found the grade prediction feature very motivating because it showed me how small changes in effort could improve my outcomes.,The notification frequency was too high by default and I had to spend time adjusting settings before it became manageable.,Add more granular privacy controls so students can choose exactly which data points are used for predictions and recommendations.
P038,18,Female,4,3,4,2,2,2,4,3,5,1,4,5,4,4,3,7,4,4,5,6,3,5,4,5,5,4,4,5,4,4,4,I liked the progress visualization feature because seeing my improvement over time kept me motivated to continue using the tool.,Some of the AI explanations were too technical and hard to understand which made me question whether the recommendations were valid.,Include a dark mode option because I often study late at night and the bright interface strains my eyes during evening sessions.
P039,24,Male,4,3,4,2,4,1,4,3,4,2,4,2,4,4,5,7,4,4,5,5,6,5,4,6,6,3,2,6,4,4,7,The notification system was well balanced and did not feel intrusive while still keeping me on track with my study goals.,The accuracy of grade predictions fluctuated a lot between weeks which made it hard to rely on them for planning purposes.,Allow customization of the dashboard layout so each student can prioritize the information that matters most to their workflow.
P040,19,Prefer not to say,4,2,4,3,3,2,4,3,4,2,4,2,1,5,4,4,3,4,5,4,6,5,6,5,6,5,4,7,4,5,6,The dashboard was really intuitive and I liked how it visualized my study patterns over the past few weeks clearly.,The accuracy of grade predictions fluctuated a lot between weeks which made it hard to rely on them for planning purposes.,Include a way to temporarily pause data collection during breaks without losing historical data or resetting the AI model.
